    time        fR1       fR2       fR3       fR4
    0.0000    0.5231    1.9564    2.5541    3.6722
    0.0068    0.5231    1.9564    2.5541    3.6722
    0.0137    0.5231    1.9564    2.5541    3.6722
    0.0205    0.5231    1.9564    2.5541    3.6722
    0.0274    0.5231    1.9564    2.5541    3.6722
    0.0342    0.5231    1.9564    2.5541    3.6722
    0.0411    0.5231    1.9564    2.5541    3.6722
    0.0479    0.5231    1.9564    2.5541    3.6722
    0.0548    0.5231    1.9564    2.5541    3.6722
    0.0616    0.5231    1.9564    2.5541    3.6722
    0.0685    0.5231    1.9564    2.5541    3.6722
    0.0753    0.5231    1.9564    2.5541    3.6722
    0.0822    0.5231    1.9564    2.5541    3.6722
    0.0890    0.5231    1.9564    2.5541    3.6722
    0.0959    0.5231    1.9564    2.5541    3.6722
    0.1027    0.5231    1.9564    2.5541    3.6722
    0.1096    0.5231    1.9564    2.5541    3.6722
    0.1164    0.5231    1.9564    2.5541    3.6722
    0.1233    0.5231    1.9564    2.5541    3.6722
    0.1301    0.5231    1.9564    2.5541    3.6722
    0.1370    0.5231    1.9564    2.5541    3.6722
    0.1438    0.5231    1.9564    2.5541    3.6722
    0.1507    0.5231    1.9564    2.5541    3.6722
    0.1575    0.5231    1.9564    2.5541    3.6722
    0.1644    0.5231    1.9564    2.5541    3.6722
    0.1712    0.5231    1.9564    2.5541    3.6722
    0.1781    0.5231    1.9564    2.5541    3.6722
    0.1849    0.5231    1.9564    2.5541    3.6722
    0.1918    0.5231    1.9564    2.5541    3.6722
    0.1986    0.5231    1.9564    2.5541    3.6722
    0.2055    0.5231    1.9564    2.5541    3.6722
    0.2123    0.5231    1.9564    2.5541    3.6722
    0.2192    0.5231    1.9564    2.5541    3.6722
    0.2260    0.5231    1.9564    2.5541    3.6722
    0.2329    0.5231    1.9564    2.5541    3.6722
    0.2397    0.5231    1.9564    2.5541    3.6722
    0.2466    0.5231    1.9564    2.5541    3.6722
    0.2534    0.5231    1.9564    2.5541    3.6722
    0.2603    0.5231    1.9564    2.5541    3.6722
    0.2671    0.5231    1.9564    2.5541    3.6722
    0.2740    0.5231    1.9564    2.5541    3.6722
    0.2808    0.5231    1.9564    2.5541    3.6722
    0.2877    0.5231    1.9564    2.5541    3.6722
    0.2945    0.5231    1.9564    2.5541    3.6722
    0.3014    0.5231    1.9564    2.5541    3.6722
    0.3082    0.5231    1.9564    2.5541    3.6722
    0.3151    0.5231    1.9564    2.5541    3.6722
    0.3219    0.5231    1.9564    2.5541    3.6722
    0.3288    0.5231    1.9564    2.5541    3.6722
    0.3356    0.5231    1.9564    2.5541    3.6722
    0.3425    0.5231    1.9564    2.5541    3.6722
    0.3493    0.5231    1.9564    2.5541    3.6722
    0.3562    0.5231    1.9564    2.5541    3.6722
    0.3630    0.5231    1.9563    2.5541    3.6721
    0.3699    0.5231    1.9562    2.5540    3.6721
    0.3767    0.5232    1.9561    2.5540    3.6721
    0.3836    0.5233    1.9558    2.5539    3.6721
    0.3904    0.5234    1.9555    2.5539    3.6720
    0.3973    0.5235    1.9550    2.5538    3.6719
    0.4041    0.5237    1.9544    2.5537    3.6718
    0.4110    0.5239    1.9537    2.5535    3.6717
    0.4178    0.5242    1.9528    2.5533    3.6716
    0.4247    0.5245    1.9518    2.5531    3.6714
    0.4315    0.5248    1.9506    2.5529    3.6713
    0.4384    0.5252    1.9492    2.5526    3.6711
    0.4452    0.5257    1.9476    2.5523    3.6708
    0.4521    0.5262    1.9459    2.5519    3.6706
    0.4589    0.5268    1.9440    2.5515    3.6703
    0.4658    0.5275    1.9418    2.5511    3.6699
    0.4726    0.5282    1.9394    2.5506    3.6696
    0.4795    0.5290    1.9368    2.5501    3.6692
    0.4863    0.5299    1.9340    2.5495    3.6688
    0.4932    0.5308    1.9309    2.5489    3.6683
    0.5000    0.5318    1.9275    2.5483    3.6678
    0.5068    0.5328    1.9240    2.5476    3.6673
    0.5137    0.5340    1.9203    2.5469    3.6667
    0.5205    0.5352    1.9162    2.5461    3.6662
    0.5274    0.5365    1.9119    2.5453    3.6656
    0.5342    0.5379    1.9074    2.5445    3.6649
    0.5411    0.5393    1.9026    2.5436    3.6642
    0.5479    0.5408    1.8976    2.5426    3.6635
    0.5548    0.5424    1.8924    2.5417    3.6628
    0.5616    0.5441    1.8869    2.5407    3.6620
    0.5685    0.5458    1.8812    2.5397    3.6613
    0.5753    0.5476    1.8753    2.5386    3.6605
    0.5822    0.5495    1.8691    2.5375    3.6596
    0.5890    0.5515    1.8626    2.5364    3.6588
    0.5959    0.5535    1.8560    2.5353    3.6579
    0.6027    0.5556    1.8491    2.5342    3.6570
    0.6096    0.5577    1.8420    2.5330    3.6561
    0.6164    0.5600    1.8348    2.5318    3.6552
    0.6233    0.5622    1.8272    2.5307    3.6543
    0.6301    0.5646    1.8196    2.5295    3.6533
    0.6370    0.5669    1.8117    2.5283    3.6524
    0.6438    0.5694    1.8037    2.5271    3.6514
    0.6507    0.5719    1.7954    2.5259    3.6505
    0.6575    0.5745    1.7870    2.5247    3.6495
    0.6644    0.5770    1.7785    2.5236    3.6485
    0.6712    0.5797    1.7698    2.5224    3.6475
    0.6781    0.5824    1.7610    2.5213    3.6465
    0.6849    0.5851    1.7520    2.5202    3.6456
    0.6918    0.5878    1.7429    2.5191    3.6446
    0.6986    0.5906    1.7337    2.5180    3.6436
    0.7055    0.5934    1.7244    2.5170    3.6426
    0.7123    0.5963    1.7150    2.5160    3.6417
    0.7192    0.5991    1.7055    2.5151    3.6407
    0.7260    0.6020    1.6960    2.5142    3.6398
    0.7329    0.6049    1.6863    2.5134    3.6388
    0.7397    0.6077    1.6766    2.5126    3.6379
    0.7466    0.6106    1.6669    2.5119    3.6370
    0.7534    0.6135    1.6571    2.5112    3.6361
    0.7603    0.6164    1.6472    2.5106    3.6352
    0.7671    0.6193    1.6374    2.5101    3.6343
    0.7740    0.6221    1.6275    2.5097    3.6335
    0.7808    0.6250    1.6176    2.5093    3.6326
    0.7877    0.6278    1.6077    2.5091    3.6318
