      time      fo1       fo2        fo3
    0.0000  100.0000  150.0000  100.0000
    0.0068  100.0000  149.9924  100.0306
    0.0137  100.0000  149.9694  100.1224
    0.0205  100.0000  149.9312  100.2752
    0.0274  100.0000  149.8777  100.4891
    0.0342  100.0000  149.8090  100.7639
    0.0411  100.0000  149.7251  101.0994
    0.0479  100.0000  149.6261  101.4955
    0.0548  100.0000  149.5121  101.9518
    0.0616  100.0000  149.3830  102.4680
    0.0685  100.0000  149.2390  103.0440
    0.0753  100.0000  149.0802  103.6793
    0.0822  100.0000  148.9066  104.3735
    0.0890  100.0000  148.7184  105.1263
    0.0959  100.0000  148.5157  105.9371
    0.1027  100.0000  148.2986  106.8054
    0.1096  100.0000  148.0673  107.7308
    0.1164  100.0000  147.8218  108.7127
    0.1233  100.0000  147.5624  109.7503
    0.1301  100.0000  147.2892  110.8433
    0.1370  100.0000  147.0023  111.9907
    0.1438  100.0000  146.7020  113.1921
    0.1507  100.0000  146.3884  114.4465
    0.1575  100.0000  146.0617  115.7533
    0.1644  100.0000  145.7221  117.1116
    0.1712  100.0000  145.3698  118.5207
    0.1781  100.0000  145.0051  119.9796
    0.1849  100.0000  144.6281  121.4875
    0.1918  100.0000  144.2392  123.0434
    0.1986  100.0000  143.8384  124.6464
    0.2055  100.0000  143.4261  126.2955
    0.2123  100.0000  143.0026  127.9897
    0.2192  100.0000  142.5680  129.7280
    0.2260  100.0000  142.1227  131.5092
    0.2329  100.0000  141.6669  133.3324
    0.2397  100.0000  141.2009  135.1964
    0.2466  100.0000  140.7250  137.1000
    0.2534  100.0000  140.2395  139.0421
    0.2603  100.0000  139.7446  141.0215
    0.2671  100.0000  139.2407  143.0370
    0.2740  100.0000  138.7282  145.0874
    0.2808  100.0000  138.2072  147.1713
    0.2877  100.0000  137.6781  149.2876
    0.2945  100.0000  137.1413  151.4349
    0.3014  100.0000  136.5970  153.6119
    0.3082  100.0000  136.0457  155.8174
    0.3151  100.0000  135.4875  158.0498
    0.3219  100.0000  134.9230  160.3079
    0.3288  100.0000  134.3524  162.5903
    0.3356  100.0000  133.7761  164.8956
    0.3425  100.0000  133.1944  167.2224
    0.3493  100.0000  132.6077  169.5692
    0.3562  100.0000  132.0163  171.9346
    0.3630  100.0000  131.4207  174.3173
    0.3699  100.0000  130.8211  176.7156
    0.3767  100.0000  130.2180  179.1282
    0.3836  100.0000  129.6116  181.5535
    0.3904  100.0000  129.0025  183.9902
    0.3973  100.0000  128.3908  186.4366
    0.4041  100.0000  127.7772  188.8913
    0.4110  100.0000  127.1618  191.3529
    0.4178  100.0000  126.5451  193.8197
    0.4247  100.0000  125.9274  196.2903
    0.4315  100.0000  125.3092  198.7632
    0.4384  100.0000  124.6908  201.2368
    0.4452  100.0000  124.0726  203.7097
    0.4521  100.0000  123.4549  206.1803
    0.4589  100.0000  122.8382  208.6471
    0.4658  100.0000  122.2228  211.1087
    0.4726  100.0000  121.6092  213.5634
    0.4795  100.0000  120.9975  216.0098
    0.4863  100.0000  120.3884  218.4465
    0.4932  100.0000  119.7820  220.8718
    0.5000  100.0000  119.1789  223.2844
    0.5068  100.0000  118.5793  225.6827
    0.5137  100.0000  117.9837  228.0654
    0.5205  100.0000  117.3923  230.4308
    0.5274  100.0000  116.8056  232.7776
    0.5342  100.0000  116.2239  235.1044
    0.5411  100.0000  115.6476  237.4097
    0.5479  100.0000  115.0770  239.6921
    0.5548  100.0000  114.5125  241.9502
    0.5616  100.0000  113.9543  244.1826
    0.5685  100.0000  113.4030  246.3881
    0.5753  100.0000  112.8587  248.5651
    0.5822  100.0000  112.3219  250.7124
    0.5890  100.0000  111.7928  252.8287
    0.5959  100.0000  111.2718  254.9126
    0.6027  100.0000  110.7593  256.9630
    0.6096  100.0000  110.2554  258.9785
    0.6164  100.0000  109.7605  260.9579
    0.6233  100.0000  109.2750  262.9000
    0.6301  100.0000  108.7991  264.8036
    0.6370  100.0000  108.3331  266.6676
    0.6438  100.0000  107.8773  268.4908
    0.6507  100.0000  107.4320  270.2720
    0.6575  100.0000  106.9974  272.0103
    0.6644  100.0000  106.5739  273.7045
    0.6712  100.0000  106.1616  275.3536
    0.6781  100.0000  105.7608  276.9566
    0.6849  100.0000  105.3719  278.5125
    0.6918  100.0000  104.9949  280.0204
    0.6986  100.0000  104.6302  281.4793
    0.7055  100.0000  104.2779  282.8884
    0.7123  100.0000  103.9383  284.2467
    0.7192  100.0000  103.6116  285.5535
    0.7260  100.0000  103.2980  286.8079
    0.7329  100.0000  102.9977  288.0093
    0.7397  100.0000  102.7108  289.1567
    0.7466  100.0000  102.4376  290.2497
    0.7534  100.0000  102.1782  291.2873
    0.7603  100.0000  101.9327  292.2692
    0.7671  100.0000  101.7014  293.1946
    0.7740  100.0000  101.4843  294.0629
    0.7808  100.0000  101.2816  294.8737
    0.7877  100.0000  101.0934  295.6265
    0.7945  100.0000  100.9198  296.3207
    0.8014  100.0000  100.7610  296.9560
    0.8082  100.0000  100.6170  297.5320
    0.8151  100.0000  100.4879  298.0482
    0.8219  100.0000  100.3739  298.5045
    0.8288  100.0000  100.2749  298.9006
    0.8356  100.0000  100.1910  299.2361
    0.8425  100.0000  100.1223  299.5109
    0.8493  100.0000  100.0688  299.7248
    0.8562  100.0000  100.0306  299.8776
    0.8630  100.0000  100.0076  299.9694
    0.8699  100.0000  100.0000  300.0000
    0.8767  100.0000  100.0000  300.0000
    0.8836  100.0000  100.0076  299.9694
    0.8904  100.0000  100.0306  299.8776
    0.8973  100.0000  100.0688  299.7248
    0.9041  100.0000  100.1223  299.5109
    0.9110  100.0000  100.1910  299.2361
    0.9178  100.0000  100.2749  298.9006
    0.9247  100.0000  100.3739  298.5045
    0.9315  100.0000  100.4879  298.0482
    0.9384  100.0000  100.6170  297.5320
    0.9452  100.0000  100.7610  296.9560
    0.9521  100.0000  100.9198  296.3207
    0.9589  100.0000  101.0934  295.6265
    0.9658  100.0000  101.2816  294.8737
    0.9726  100.0000  101.4843  294.0629
    0.9795  100.0000  101.7014  293.1946
    0.9863  100.0000  101.9327  292.2692
    0.9932  100.0000  102.1782  291.2873
    1.0000  100.0000  102.4376  290.2497
    1.0068  100.0000  102.7108  289.1567
    1.0137  100.0000  102.9977  288.0093
    1.0205  100.0000  103.2980  286.8079
    1.0274  100.0000  103.6116  285.5535
    1.0342  100.0000  103.9383  284.2467
    1.0411  100.0000  104.2779  282.8884
    1.0479  100.0000  104.6302  281.4793
    1.0548  100.0000  104.9949  280.0204
    1.0616  100.0000  105.3719  278.5125
    1.0685  100.0000  105.7608  276.9566
    1.0753  100.0000  106.1616  275.3536
    1.0822  100.0000  106.5739  273.7045
    1.0890  100.0000  106.9974  272.0103
    1.0959  100.0000  107.4320  270.2720
    1.1027  100.0000  107.8773  268.4908
    1.1096  100.0000  108.3331  266.6676
    1.1164  100.0000  108.7991  264.8036
    1.1233  100.0000  109.2750  262.9000
    1.1301  100.0000  109.7605  260.9579
    1.1370  100.0000  110.2554  258.9785
    1.1438  100.0000  110.7593  256.9630
    1.1507  100.0000  111.2718  254.9126
    1.1575  100.0000  111.7928  252.8287
    1.1644  100.0000  112.3219  250.7124
    1.1712  100.0000  112.8587  248.5651
    1.1781  100.0000  113.4030  246.3881
    1.1849  100.0000  113.9543  244.1826
    1.1918  100.0000  114.5125  241.9502
    1.1986  100.0000  115.0770  239.6921
    1.2055  100.0000  115.6476  237.4097
    1.2123  100.0000  116.2239  235.1044
    1.2192  100.0000  116.8056  232.7776
    1.2260  100.0000  117.3923  230.4308
    1.2329  100.0000  117.9837  228.0654
    1.2397  100.0000  118.5793  225.6827
    1.2466  100.0000  119.1789  223.2844
    1.2534  100.0000  119.7820  220.8718
    1.2603  100.0000  120.3884  218.4465
    1.2671  100.0000  120.9975  216.0098
    1.2740  100.0000  121.6092  213.5634
    1.2808  100.0000  122.2228  211.1087
    1.2877  100.0000  122.8382  208.6471
    1.2945  100.0000  123.4549  206.1803
    1.3014  100.0000  124.0726  203.7097
    1.3082  100.0000  124.6908  201.2368
    1.3151  100.0000  125.3092  198.7632
    1.3219  100.0000  125.9274  196.2903
    1.3288  100.0000  126.5451  193.8197
    1.3356  100.0000  127.1618  191.3529
    1.3425  100.0000  127.7772  188.8913
    1.3493  100.0000  128.3908  186.4366
    1.3562  100.0000  129.0025  183.9902
    1.3630  100.0000  129.6116  181.5535
    1.3699  100.0000  130.2180  179.1282
    1.3767  100.0000  130.8211  176.7156
    1.3836  100.0000  131.4207  174.3173
    1.3904  100.0000  132.0163  171.9346
    1.3973  100.0000  132.6077  169.5692
    1.4041  100.0000  133.1944  167.2224
    1.4110  100.0000  133.7761  164.8956
    1.4178  100.0000  134.3524  162.5903
    1.4247  100.0000  134.9230  160.3079
    1.4315  100.0000  135.4875  158.0498
    1.4384  100.0000  136.0457  155.8174
    1.4452  100.0000  136.5970  153.6119
    1.4521  100.0000  137.1413  151.4349
    1.4589  100.0000  137.6781  149.2876
    1.4658  100.0000  138.2072  147.1713
    1.4726  100.0000  138.7282  145.0874
    1.4795  100.0000  139.2407  143.0370
    1.4863  100.0000  139.7446  141.0215
    1.4932  100.0000  140.2395  139.0421
    1.5000  100.0000  140.7250  137.1000
    1.5068  100.0000  141.2009  135.1964
    1.5137  100.0000  141.6669  133.3324
    1.5205  100.0000  142.1227  131.5092
    1.5274  100.0000  142.5680  129.7280
    1.5342  100.0000  143.0026  127.9897
    1.5411  100.0000  143.4261  126.2955
    1.5479  100.0000  143.8384  124.6464
    1.5548  100.0000  144.2392  123.0434
    1.5616  100.0000  144.6281  121.4875
    1.5685  100.0000  145.0051  119.9796
    1.5753  100.0000  145.3698  118.5207
    1.5822  100.0000  145.7221  117.1116
    1.5890  100.0000  146.0617  115.7533
    1.5959  100.0000  146.3884  114.4465
    1.6027  100.0000  146.7020  113.1921
    1.6096  100.0000  147.0023  111.9907
    1.6164  100.0000  147.2892  110.8433
    1.6233  100.0000  147.5624  109.7503
    1.6301  100.0000  147.8218  108.7127
    1.6370  100.0000  148.0673  107.7308
    1.6438  100.0000  148.2986  106.8054
    1.6507  100.0000  148.5157  105.9371
    1.6575  100.0000  148.7184  105.1263
    1.6644  100.0000  148.9066  104.3735
    1.6712  100.0000  149.0802  103.6793
    1.6781  100.0000  149.2390  103.0440
    1.6849  100.0000  149.3830  102.4680
    1.6918  100.0000  149.5121  101.9518
    1.6986  100.0000  149.6261  101.4955
    1.7055  100.0000  149.7251  101.0994
    1.7123  100.0000  149.8090  100.7639
    1.7192  100.0000  149.8777  100.4891
    1.7260  100.0000  149.9312  100.2752
    1.7329  100.0000  149.9694  100.1224
    1.7397  100.0000  149.9924  100.0306
    1.7466  100.0000  150.0000  100.0000
